facilityname,facilityid,facilitytype,capacitytype,receiptlocation,ReceiptLocationName,deliverylocation,DeliveryLocationName,capacitydescription,flowdirection,capacityquantity,effectivedate,description,LastUpdated
LYB Transmission Pipeline,535023,PIPE,MDQ,1390036,LYB Pipe Receipt from VTS,1390037,LYB Pipe delivery to LYB GPG,Normal Firm Capacity,NONE,146.000,31 Mar 2026 00:00:00,LYB Pipeline,2026/03/20 14:25:58
Newport,533171,BBGPG,MDQ,-1,,-1,,,NONE,111.130,31 Mar 2026 00:00:00,Capacity under normal operating conditions.,2026/03/18 16:04:19
Oakey PS,544095,BBGPG,MDQ,-1,,-1,,,NONE,96.000,31 Mar 2026 00:00:00,This is maximum quantity of natural gas that the OakeyPower Station (Large User facility) can receive from a pipeline on a gas day,2026/02/02 15:12:53
Orana,540084,PROD,MDQ,-1,,-1,,,NONE,195.000,31 Mar 2026 00:00:00,Standing Capacity,2026/03/31 17:33:27
Orica,544011,BBLARGE,MDQ,-1,,-1,,,NONE,9.500,31 Mar 2026 00:00:00,No Change,2026/03/31 13:17:21
Peat,540065,PROD,MDQ,-1,,-1,,,NONE,12.000,31 Mar 2026 00:00:00,Standing Capacity,2026/03/31 17:33:27
Reedy Creek,540085,PROD,MDQ,-1,,-1,,,NONE,190.000,31 Mar 2026 00:00:00,Standing Capacity,2026/03/31 17:33:27
SEPS,550061,PIPE,MDQ,1505076,SESA,1505078,Apcel MS,SEP Forward Haul Capacity,NONE,16.000,31 Mar 2026 00:00:00,Forward Haul,2026/03/31 17:52:05
Spring Gully,540066,PROD,MDQ,-1,,-1,,,NONE,64.000,31 Mar 2026 00:00:00,Standing Capacity,2026/03/31 17:33:27
Strathblane,540067,PROD,MDQ,-1,,-1,,,NONE,73.000,31 Mar 2026 00:00:00,Standing Capacity,2026/03/31 17:33:27
Talinga,540076,PROD,MDQ,-1,,-1,,,NONE,125.000,31 Mar 2026 00:00:00,Standing Capacity,2026/03/31 17:33:27
Tallawarra,522002,BBGPG,MDQ,-1,,-1,,,NONE,180.000,31 Mar 2026 00:00:00,Capacity under normal operating conditions.,2026/03/18 15:52:45
Tallawarra Pipeline,523201,PIPE,MDQ,1390028,Tallawarra Pipeline Receipt,1390029,Tallawarra Pipeline Delivery,Pipeline capacity under normal operating conditions,NONE,192.000,31 Mar 2026 00:00:00,Pipeline capacity under normal operating conditions,2026/03/18 16:11:19
Taloona,540068,PROD,MDQ,-1,,-1,,,NONE,70.000,31 Mar 2026 00:00:00,Standing Capacity,2026/03/31 17:33:27
VTS,530110,PIPE,MDQ,1203003,M126 Culcairn Injection,1303054,M115 KEON PARK EAST,The amount of gas that Culcairn is able to inject into the VTS.,NONE,221.000,31 Mar 2026 00:00:00,No change in capacity,2026/03/31 10:49:07
VTS,530110,PIPE,MDQ,1303000,M001 Longford Injection,1303046,M003 DANDENONG NORTH,"The amount of gas that Longford, VicHub, TasHub and Lang Lang are able to inject into the VTS.",NONE,1114.000,31 Mar 2026 00:00:00,No change in capacity,2026/03/31 10:49:07
VTS,530110,PIPE,MDQ,1303008,M101 Iona UGS Injection,1303084,M008 BROOKLYN,"The amount of gas that can be transported from Otway, Mortlake, Athena, Iona Underground Gas Storage and SEAgas to Brooklyn City Gate.",NONE,515.000,31 Mar 2026 00:00:00,No change in capacity,2026/03/31 10:49:07
VTS,530110,PIPE,MDQ,1303054,M115 KEON PARK EAST,1203004,M126 Culcairn Withdrawal,The amount of gas that Culcairn is able to withdraw from the VTS.,NONE,225.000,31 Mar 2026 00:00:00,No change in capacity,2026/03/31 10:49:07
VTS,530110,PIPE,MDQ,1303084,M008 BROOKLYN,1303007,M101 Iona UGS Withdrawal,"The amount of gas that can be transported from Wollert and Brooklyn City Gate to Iona Underground Gas Storage, SEAGas and the Western Transmission System.",NONE,330.000,31 Mar 2026 00:00:00,No change in capacity,2026/03/31 10:49:07
BPP,530030,PIPE,MDQ,1303211,BassGas Receipt,1303210,Pakenham Metering Point,NamePlate Capacity for BPP,NONE,67.000,01 Apr 2026 00:00:00,BPP NamePlate  Rating,2026/04/01 09:38:43
BPP,530030,PIPE,MDQ,1307016,Pakenham Metering Point (Receipt Point),1307034,South Gippsland Gate Station Delivery,NamePlate Capacity for BPP,NONE,67.000,01 Apr 2026 00:00:00,BPP NamePlate  Rating,2026/04/01 09:38:43
NGS,520060,STOR,MDQ,-1,,-1,,,DELIVERY,120.000,01 Apr 2026 00:00:00,Normal Operation,2026/03/13 13:29:54
NGS,520060,STOR,MDQ,-1,,-1,,,RECEIPT,12.500,01 Apr 2026 00:00:00,Normal Operation,2026/03/13 13:29:54
NGS,520060,STOR,STORAGE,-1,,-1,,,NONE,1500.000,01 Apr 2026 00:00:00,Normal Operation,2026/03/13 13:29:54
